question_id,question,retrieval_method,retrieved_ids,relevant_ids,precision@1,precision@3,precision@5,recall@1,recall@3,recall@5,ndcg@1,ndcg@3,ndcg@5,reference_answer,generated_answer,rouge_l,bertscore_f1,retrieval_latency,generation_latency,total_latency
1,How do I authenticate to the GitHub REST API?,dense,"003_github_rest_authentication, 002_github_rest_getting_started, 001_github_rest_overview",003_github_rest_authentication,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,Authentication is done using tokens like personal access tokens or GitHub App tokens.,"GitHub recommends authenticating REST API requests when you need access to more endpoints or higher rate limits.
Authentication can be done with different token types, such as personal access tokens, GitHub App tokens,
or the GITHUB_TOKEN in the GitHub Actions.
Permissions depend on the token type and endpoint.",0.2903225806451613,0.9052020907402039,0.031098100007511675,6.116239700000733,6.147337800008245
2,What is the best way to avoid rate limit issues in GitHub API?,dense,"007_github_rest_best_practices_concurrency, 004_github_rest_rate_limits, 056_api_rate_limiting_strategies","004_github_rest_rate_limits, 005_github_rest_best_practices_auth",0.0,0.3333333333333333,0.2,0.0,0.5,0.5,0.0,0.38685280723454163,0.38685280723454163,Using authenticated requests and avoiding excessive requests helps prevent rate limits.,"Too many  concurrent requests can trigger secondary rate limits and therefore GitHub recommends avoiding this.
The placing requests them in the waiting list, and process them in a more controlled and sequential way is a safer pattern.",0.16666666666666669,0.8832193613052368,0.010247199970763177,2.586916000000201,2.5971631999709643
3,Why should I not send too many API requests at the same time?,dense,"194_stackexchange_duplicate_detection, 007_github_rest_best_practices_concurrency, 056_api_rate_limiting_strategies",007_github_rest_best_practices_concurrency,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.0,0.6309297535714575,0.6309297535714575,Too many concurrent requests can trigger secondary rate limits.,"There are some operations within APIs should only be executed once, such as voting or payment processing.
Because of that the system may create incorrect results or unexpected behavior if the same request is executed more than once.
Some systems use mechanisms to detect duplicate requests and prevent their re-execution.",0.03333333333333333,0.8585169911384583,0.01513889996567741,1.264377500046976,1.2795164000126533
4,What are the main components of a REST API request?,dense,"038_rest_architectural_constraints, 002_github_rest_getting_started, 049_rest_api_error_responses",002_github_rest_getting_started,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.0,0.6309297535714575,0.6309297535714575,"A REST request includes method, path, headers, authentication, and parameters.","REST (Representational State Transfer) is an architectural style for distributed
hypermedia systems, defined by Roy Fielding in his 2000 doctoral dissertation. The
six guiding constraints of REST are: client-server separation, statelessness,
cacheability, uniform interface, layered system, and code on demand (optional).
Statelessness means each request must contain all information needed to process it,
with no session state stored on the server between requests. A uniform interface,
including resource identification via URIs and the use of standard HTTP methods, is
central to RESTful API design.",0.08421052631578947,0.8375335931777954,0.0145331000094302,1.3640689000021666,1.3786020000115968
5,How can I list repositories for an organization in GitHub?,dense,"010_github_list_org_repositories, 009_github_repositories_overview, 013_github_repository_statistics",010_github_list_org_repositories,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,The list organization repositories endpoint returns repositories for a given organization.,"The 'List organization repositories' endpoint returns repositories for a given organization.
It accepts an organization name and supports filtering by repository type, such as all, public, private, forks, sources,
or member repositories.",0.5116279069767442,0.9140562415122986,0.018384099996183068,4.148186000005808,4.166570100001991
6,What happens if I do not authenticate API requests?,dense,"199_stackexchange_authentication_errors, 005_github_rest_best_practices_auth, 200_stackexchange_oauth_authen","003_github_rest_authentication, 005_github_rest_best_practices_auth",0.0,0.3333333333333333,0.2,0.0,0.5,0.5,0.0,0.38685280723454163,0.38685280723454163,Unauthenticated requests have lower rate limits and less access.,"If the authentication process fails or if the user does not have the necessary permissions to access a specific process,
some APIs may refuse to execute requests.
For example, an error might occur if an invalid access token is sent, or if an attempts is made to access a
function requiring additional permissions.
This type of verification helps protect systems and prevent unauthorized access to sensitive data or processes.",0.07692307692307691,0.8439156413078308,0.013560899998992682,3.505995899962727,3.5195567999617197
7,Why should developers use webhooks instead of polling?,dense,"006_github_rest_best_practices_polling, 045_github_webhooks_events, 044_github_webhooks_overview",006_github_rest_best_practices_polling,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,Webhooks are recommended instead of polling to avoid repeated requests.,"The GitHub advises developers to avoid polling the API un necessarily.
Instead, it recommends using webhooks where possible so integrations can react to events without repeatedly
querying the same resources.",0.1,0.8901326060295105,0.017958100012037903,1.6123055000207387,1.6302636000327766
8,How can I get the contents of a file in a repository?,dense,"012_github_repository_contents, 247_github_rest_api_commits, 009_github_repositories_overview",012_github_repository_contents,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,Repository contents endpoints return file or directory contents.,"The repository contents endpoints allow clients to retrieve the contents of a file or directory in a repository.
If the path is omitted, the API returns the contents of the repository root.
The same section also describes how content can be created, updated, or deleted.",0.26415094339622647,0.8963470458984375,0.015346800035331398,1.3243923999834806,1.339739200018812
9,What is the purpose of repository statistics endpoints?,dense,"013_github_repository_statistics, 012_github_repository_contents, 009_github_repositories_overview",013_github_repository_statistics,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,Repository statistics endpoints provide data about repository activity.,"The repository statistics endpoints expose data used by GitHub to visualize repository activity.
These endpoints can help developers analyze contribution patterns and other repository-level metrics.",0.3529411764705882,0.9285761117935181,0.012184899998828769,0.8300290000042878,0.8422139000031166
10,How does Stack Exchange API provide questions?,dense,"017_stackexchange_question_type, 014_stackexchange_api_overview, 018_stackexchange_answer_type",015_stackexchange_questions_endpoint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The questions endpoint returns questions with filters like score and date.,"In the Stack Exchange API, the question type represents a site question and can optionally include comments and answers.
This structure is useful when building datasets that need both a user question and its surrounding technical context.",0.16666666666666669,0.8610494136810303,0.012651900004129857,1.2062951999832876,1.2189470999874175
